material_code,source_cpse,raw_description
IOCL-FLA-1237,IOCL,"CARBON-STL FLANGE SWRF 2"" ASME B16.5 ASTM A105 CL 300 STK-CAT: A"
IOCL-VAL-1103,IOCL,WCB VALVE GATE 150NB API-600 A216 WCB 150# STK-CAT: A
BPCL-FLA-1180,BPCL,50 MM CS FLANGE WNRF ASME B16.5 ASTM A105 CLASS 300 BIN: 44-A
ONGC-FAS-1354,ONGC,"FASTENER, STUD BOLT, ALLOY STEEL, 1"" X 160MM NOMINAL, ASTM A193 B16"
GAIL-PIP-1080,GAIL,"PIPE - GALVANIZED IRON - IS-1239 HEAVY - 2"" - HEAVY"
GAIL-GAS-1250,GAIL,"GASKET - SS 304 W/ GRAPHITE - SWG - ASME-B16.20 SS304 - 3"" - 150#"
BPCL-PIP-1045,BPCL,100MM STAINLESS STEEL PIPE ASTM-A312 304 SCH 40S
BPCL-PIP-1004,BPCL,25 MM CS PIPE ASTM A106 GR B SCH 40
IOCL-PIP-1444,IOCL,CARBON STEEL PIPE 125NB SCH 40 ASTM-A106 GRADE B
BPCL-GAS-1256,BPCL,150 MM SS304/GRAPHITE GASKET SWG ASME B16.20 SS304 CLASS 150
GAIL-PIP-1032,GAIL,PIPE - CARBON-STL - ASTM A106 GR B - DN250 - SCH 40
ONGC-FAS-1331,ONGC,"FASTENER, HEX NUT, CS, 3/4"" NOMINAL, ASTM A194 GR 2H, BOMBAY HIGH STK"
ONGC-FAS-1336,ONGC,"FASTENER, HEX NUT, CARBON STEEL, 7/8"", ASTM-A194 GRADE 2H"
ONGC-FAS-1300,ONGC,"FASTENER, STUD BOLT, ALLOY STEEL, 3/4"" X 110MM NOMINAL, ASTM A193 B7"
BPCL-VAL-1092,BPCL,DN50 CS WCB VALVE GATE API 600 A216 WCB 300 LBS
GAIL-FIT-1411,GAIL,FITTING - CARBON-STL - ELBOW 90 LR - ASTM A234 WPB - DN200 - SCH 40 - NCR REGION
IOCL-VAL-1109,IOCL,"ASTM A216 WCB VALVE GATE 8"" API 600 A216 WCB CL 150"
BPCL-GAS-1290,BPCL,25 MM SS304/GRAPHITE GASKET SWG ASME B16.20 SS304 CLASS 300 INSP REQD
BPCL-GAS-1272,BPCL,DN 50 CAF SUBSTITUTE CNAF GASKET CNAF 1.5MM BS 7531 NON-ASBESTOS CL 150 INSP REQD
GAIL-FLA-1236,GAIL,FLNAGE - C.S. - SWRF - ASTM A105 - 50 NB - 300 LBS
GAIL-FAS-1357,GAIL,FASTENER - ALLOY STEEL - STUD BOLT - ASTM A193 - DN25
ONGC-VAL-1135,ONGC,"VALVE, BALL, S.S., 4 IN, API 608 CF8M, 150 LBS, MR-NO: 99120"
GAIL-GAS-1267,GAIL,"GASKET - SS316 W/ TEFLON - SWG - ASME-B16.20 SS316 - 2"" - 150#"
BPCL-PIP-1031,BPCL,DN250 C.S. PIEP AA106 GR.B SCH 40
GAIL-FLA-1197,GAIL,FLANGE - CARBON-STL - WNRF - ASME B16.5 ASTM A105 - DN150 - CL 150
ONGC-FAS-1315,ONGC,"FASTENER, STUD BOLT, ALLOY STL, 1-1/8"" X 175MM, ASTM-A193 B7"
ONGC-PIP-1047,ONGC,"PIPE, SS, 1"" NOMINAL, ASTM A312 316, SCH 40S, OFFSHORE HAZIRA"
IOCL-VAL-1153,IOCL,CS WCB VALVE CHECK 4 INCH API 594 A216 WCB 150 LBS COMMODITY: PIP-CS
GAIL-GAS-1440,GAIL,"GASKET - SS 304 W/ GRAPHITE - SWG - ASME-B16.20 SS304 - 4"" - 300#"
IOCL-FIT-1369,IOCL,CARBON STEEL FITTING ELBOW 90 LR 100NB SCH 40 ASTM-A234 WPB COMMODITY: PIP-CS
IOCL-GAS-1262,IOCL,"SS316 GRPH GASKET SWG 2"" ASME B16.20 SS316 CL 150 COMMODITY: PIP-CS"
IOCL-PIP-1029,IOCL,CS PIPE 250 NB SCH 40 ASTM A106 GR B
GAIL-FIT-1413,GAIL,"FITTING - STAINLESS STEEL - ELBOW 90 LR - ASTM-A403 WP316 - 4"" - SCH 40S"
IOCL-FLA-1187,IOCL,CS FLANGE WNRF 100 NB ASME B16.5 ASTM A105 CLASS 150
IOCL-VAL-1099,IOCL,CAST STEEL A216 WCB VALVE GATE 100 NB API 600 A216 WCB CLASS 300 COMMODITY: PIP-CS
IOCL-VAL-1172,IOCL,CS WCB VALVE GATE 12 INCH API 600 A216 WCB 150 LBS
IOCL-VAL-1129,IOCL,"ASTM A216 WCB VALVE BALL 4"" API 608 A216 WCB CL 150 TAG# 1024"
ONGC-FAS-1305,ONGC,"FASTENER, STUD BOLT, AS, 3/4 X 130MM IN, B7"
GAIL-GAS-1248,GAIL,GASKET - SPW SS304 GRAPHITE - SWG - ASME B16.20 SS304 - 50 NB - 300 LBS - HVJ LINE
BPCL-VAL-1116,BPCL,50 MM CAST STEEL A216 WCB VALVE BALL API 608 A216 WCB CLASS 150 MUMBAI REFY
ONGC-FIT-1399,ONGC,"FITTING, COUPLING FULL, C.S., 1 IN, ASME B16.11 ASTM A105, 3000 LBS"
GAIL-PIP-1018,GAIL,PIPE - C.S. - GR.B - 100 NB - SCH 40
IOCL-FAS-1422,IOCL,ALLOY STL FASTENER STUD BOLT 19NB ASTM-A193 B16 SEC-4 GUJ REFY
BPCL-FLA-1201,BPCL,50 MM CS FLNAGE BLRF ASME B16.5 ASTM A105 CLASS 150 KOCHI REFY STK
IOCL-FIT-1362,IOCL,CARBON STEEL FITTING ELBOW 90 LR 50NB SCH 40 ASTM-A234 WPB SEC-4 GUJ REFY
IOCL-GAS-1257,IOCL,SS 304 W/ GRAPHITE GASKET SWG 150NB ASME-B16.20 SS304 150#
BPCL-PIP-1068,BPCL,DN 100 LTCS PIPE ASTM A333 GR 6 SCH 80
IOCL-FLA-1207,IOCL,CS FLANGE BLRF 150 NB ASME B16.5 ASTM A105 CLASS 150
BPCL-FLA-1216,BPCL,DN100 C.S. FLANGE SORF ASTM A105 150 LBS BIN: 44-A
ONGC-FIT-1406,ONGC,"FITTING, UNION, CARBON STEEL, 1"", ASME-B16.11 ASTM A105, CLASS 3000, API CERT"
BPCL-FIT-1377,BPCL,DN50 C.S. FITTING TEE EQUAL AA234 WPB SCH 40 INSP REQD
GAIL-FLA-1220,GAIL,"FLNAGE - SS - WNRF - ASME B16.5 ASTM A182 F304 - 4"" - CLASS 150 - PIPELINE PROJ"
IOCL-FIT-1452,IOCL,CARBON STEEL FITTING ELBOW 90 LR 65NB SCH 40 ASTM-A234 WPB SEC-4 GUJ REFY
BPCL-PIP-1008,BPCL,50MM CARBON STEEL PIPE ASTM-A106 GRADE B SCH 40 BIN: 44-A
IOCL-FLA-1240,IOCL,C.S. FLANGE WNRF 10 INCH ASTM A105 150 LBS
BPCL-PIP-1015,BPCL,DN80 C.S. PIPE AA106 GR.B SCH 40
BPCL-PIP-1025,BPCL,DN150 C.S. PIPE AA106 GR.B SCH 40 PO# 450091
GAIL-FIT-1363,GAIL,FITTING - C.S. - ELBOW 90 LR - AA234 WPB - 50 NB - SCH 40
GAIL-FAS-1327,GAIL,"FASTENER - SS - STUD BOLT - ASTM A193 B8M - 1"" X 150MM - COMPRESSOR STN"
GAIL-FIT-1454,GAIL,"FITTING - CARBON STEEL - ELBOW 90 LR - ASTM-A234 WPB - 2"" - SCH 40 - PIPELINE PROJ"
BPCL-FLA-1221,BPCL,100MM STAINLESS STEEL FLANGE WNRF ASME-B16.5 ASTM A182 F304 150#
BPCL-FLA-1174,BPCL,25MM CARBON STEEL FLANGE WNRF ASME-B16.5 ASTM A105 150#
IOCL-FIT-1453,IOCL,CS FITTING ELBOW 90 LR 50 NB SCH 40 ASTM A234 WPB
IOCL-FIT-1400,IOCL,"CARBON-STL FITTING COUPLING FULL 1"" ASME B16.11 ASTM A105 RATING 3000#"
BPCL-FLA-1448,BPCL,65MM CARBON STEEL FLANGE WNRF ASME-B16.5 ASTM A105 150#
IOCL-GAS-1280,IOCL,ARMCO IRON GASKET RTJ R24 50NB ASME-B16.20 ARMCO 600#
GAIL-PIP-1059,GAIL,"PIPE - STAINLESS STEEL - ASTM-A312 316 - 6"" - SCH 40S"
IOCL-FAS-1320,IOCL,"STN STL FASTENER STUD BOLT 5/8"" X 90MM ASTM A193 B8 COMMODITY: PIP-CS"
GAIL-VAL-1127,GAIL,"VALVE - WCB - BALL - API-608 A216 WCB - 4"" - 150#"
BPCL-GAS-1245,BPCL,DN 50 SS304 GRPH GASKET SWG ASME B16.20 SS304 CL 150
BPCL-FLA-1435,BPCL,50 MM CS FLNAGE WNRF ASME B16.5 ASTM A105 CLASS 900
IOCL-FAS-1338,IOCL,"CARBON-STL FASTENER HEX NUT 7/8"" ASTM A194 GR 2H PR-REF: 8402"
BPCL-VAL-1430,BPCL,100MM WCB VALVE BALL API-608 A216 WCB 300# KOCHI REFY STK
IOCL-FLA-1176,IOCL,"CARBON-STL FLANGE WNRF 1"" ASME B16.5 ASTM A105 CL 150"
BPCL-PIP-1040,BPCL,DN 25 STN STL PIPE ASTM A312 304 SCH 10S
GAIL-GAS-1258,GAIL,GASKET - SPW SS304 GRAPHITE - SWG - ASME B16.20 SS304 - 150 NB - 150 LBS
BPCL-FAS-1450,BPCL,19MM ALLOY STL FASTENER STUD BOLT ASTM-A193 B7 INSP REQD
BPCL-GAS-1277,BPCL,150MM NON-ASBESTOS GASKET CNAF 3MM BS-7531 NON-ASBESTOS 150#
ONGC-VAL-1165,ONGC,"VALVE, BUTTERFLY, CAST-IRON, 150MM NB, API 609 IS 210, PN16, OFFSHORE HAZIRA"
ONGC-GAS-1255,ONGC,"GASKET, SWG, SPW SS304 GRAPHITE, 4 IN, SS304, 150 LBS"
GAIL-VAL-1426,GAIL,"VALVE - WCB - GATE - API-600 A216 WCB - 2"" - 600#"
BPCL-VAL-1163,BPCL,150MM CI VALVE BUTTERFLY API-609 IS 210 PN16 RATING
ONGC-FIT-1385,ONGC,"FITTING, CONCENTRIC REDUCER, CS, 4"" X 2"" NOMINAL, ASTM A234 WPB, SCH 40"
ONGC-FAS-1351,ONGC,"FASTENER, HEX BOLT, CARBON STEEL, M12 X 50MM, IS-1367 4.6, MR-NO: 99120"
GAIL-PIP-1043,GAIL,PIPE - S.S. - 304 - 50 NB - SCH 40S
BPCL-FAS-1334,BPCL,DN 19 CARBON-STL FASTENER HEX NUT ASTM A194
IOCL-PIP-1071,IOCL,C.S. PIPE 8 INCH PSL2 X52
IOCL-PIP-1063,IOCL,LOW TEMP CARBON STEEL PIPE 50NB SCH 40 ASTM-A333 GRADE 6
BPCL-FAS-1311,BPCL,25MM ALLOY STL FASTENER STUD BOLT ASTM-A193 B7
ONGC-FLA-1183,ONGC,"FLANGE, WNRF, CARBON-STL, 50MM NB, ASME B16.5, CL 300"
ONGC-VAL-1445,ONGC,"VALVE, GATE, CAST STEEL A216 WCB, 2.5"" NOMINAL, API 600 A216 WCB, CLASS 150"
GAIL-GAS-1253,GAIL,"GASKET - SS304/GRAPHITE - SWG - ASME B16.20 SS304 - 4"" - CLASS 150"
ONGC-FLA-1433,ONGC,"FLANGE, WNRF, CS, 4"" NOMINAL, ASME B16.5 ASTM A105, CLASS 600, DRILLING OP"
BPCL-FIT-1386,BPCL,100MM CARBON STEEL FITTING CONCENTRIC REDUCER ASTM-A234 WPB SCH 40
GAIL-FIT-1379,GAIL,"FITTING - CS - TEE EQUAL - ASTM A234 WPB - 4"" - SCH 40 - HVJ LINE"
ONGC-VAL-1167,ONGC,"VALVE, NEEDLE, STAINLESS STEEL, 1/2"", ASME-B16.34 316, CLASS 6000"
BPCL-GAS-1254,BPCL,100MM SS 304 W/ GRAPHITE GASKET SWG ASME-B16.20 SS304 150# BIN: 44-A
ONGC-VAL-1171,ONGC,"VALVE, GATE, WCB, 12"", API-600 A216 WCB, 150#, API CERT"
BPCL-VAL-1102,BPCL,150 MM CAST STEEL A216 WCB VALVE GATE API 600 A216 WCB CLASS 150 INSP REQD
GAIL-FAS-1298,GAIL,FASTENER - AS - STUD BOLT - AA193 B7 - 16 NB
BPCL-FLA-1193,BPCL,DN 100 CARBON-STL FLANGE WNRF ASME B16.5 ASTM A105 CL 300 INSP REQD
GAIL-VAL-1123,GAIL,"VALVE - WCB - BALL - API-608 A216 WCB - 3"" - 150# - PIPELINE PROJ"
GAIL-FAS-1319,GAIL,FASTENER - S.S. - STUD BOLT - B8 - 16 NB - GAS TRANS HV
BPCL-FIT-1373,BPCL,DN150 C.S. FITTING ELBOW 90 LR AA234 WPB SCH 40 PO# 450091
ONGC-FIT-1391,ONGC,"FITTING, ELBOW 90 LR, SS, 2"" NOMINAL, ASTM A403 WP304, SCH 40S"
BPCL-FIT-1424,BPCL,50MM STAINLESS STEEL FITTING ELBOW 90 LR ASTM-A403 WP316 SCH 40S MUMBAI REFY
IOCL-FIT-1358,IOCL,CS FITTING ELBOW 90 LR 25 NB SCH 40 ASTM A234 WPB COMMODITY: PIP-CS
IOCL-PIP-1072,IOCL,CS PIPE 300 NB PSL2 API 5L X65 STK-CAT: A
GAIL-VAL-1133,GAIL,"VALVE - SS - BALL - API 608 CF8M - 4"" - CLASS 150 - COMPRESSOR STN"
ONGC-FIT-1403,ONGC,"FITTING, COUPLING FULL, C.S., 2 IN, ASME B16.11 ASTM A105, 3000 LBS"
ONGC-PIP-1030,ONGC,"PIPE, CARBON STEEL, 10"", ASTM-A106 GRADE B, SCH 40"
ONGC-FLA-1226,ONGC,"FLANGE, WNRF, S.S., 2 IN, ASME B16.5 ASTM A182 F316, 150 LBS"
GAIL-FAS-1312,GAIL,FASTENER - AS - STUD BOLT - AA193 B7 - 25 NB
IOCL-FLA-1231,IOCL,CARBON STEEL FLANGE SWRF 25NB ASME-B16.5 ASTM A105 300# STK-CAT: A
ONGC-FLA-1208,ONGC,"FLANGE, BLRF, CARBON STEEL, 6"", ASME-B16.5 ASTM A105, 150#"
IOCL-FLA-1202,IOCL,CARBON STEEL FLANGE BLRF 50NB ASME-B16.5 ASTM A105 150# STK-CAT: A
BPCL-VAL-1142,BPCL,100MM WCB VALVE GLOBE BS-1873 A216 WCB 150#
GAIL-GAS-1243,GAIL,"GASKET - SS 304 W/ GRAPHITE - SWG - ASME-B16.20 SS304 - 2"" - 150#"
ONGC-VAL-1152,ONGC,"VALVE, CHECK, WCB, 4"", API-594 A216 WCB, 150#, OFFSHORE HAZIRA"
GAIL-VAL-1427,GAIL,"VALVE - CAST STEEL A216 WCB - BALL - API 608 A216 WCB - 2"" - CLASS 600 - HVJ LINE"
BPCL-FAS-1341,BPCL,DN25 C.S. FASTENER HEX NUT GR.2H
ONGC-FIT-1372,ONGC,"FITTING, ELBOW 90 LR, CRABON STEEL, 6"", ASTM-A234 WPB, SCH 40, OFFSHORE HAZIRA"
ONGC-VAL-1124,ONGC,"VALVE, BALL, CS WCB, 3 IN, API 608 A216 WCB, 150 LBS, API CERT"
BPCL-FLA-1212,BPCL,DN50 C.S. FLANGE SORF ASTM A105 150 LBS INSP REQD
BPCL-VAL-1122,BPCL,80 MM CAST STEEL A216 WCB VALVE BALL API 608 A216 WCB CLASS 150
BPCL-GAS-1246,BPCL,50 MM SS304/GRAPHITE GASEKT SWG ASME B16.20 SS304 CLASS 300 BIN: 44-A
BPCL-GAS-1283,BPCL,100 MM SS316 GASKET RTJ R37 ASME B16.20 SS316 CLASS 600
GAIL-FLA-1185,GAIL,"FLANGE - CARBON STEEL - WNRF - ASME-B16.5 ASTM A105 - 3"" - 150#"
BPCL-FIT-1408,BPCL,200 MM CS FITTING ELBOW 90 LR ASTM A234 WPB SCH 40 INSP REQD
ONGC-FIT-1394,ONGC,"FITTING, ELBOW 90 LR, SS, 2"" NOMINAL, ASTM A403 WP316, SCH 40S"
GAIL-PIP-1075,GAIL,"PIPE - GI - IS 1239 HEAVY - 1"" - HEAVY - NCR REGION"
ONGC-FAS-1348,ONGC,"FASTENER, HEX BOLT, C.S., M20 X 80MM IN, IS 1367 8.8"
BPCL-FLA-1198,BPCL,200 MM CS FLANGE WNRF ASME B16.5 ASTM A105 CLASS 150
GAIL-PIP-1014,GAIL,"PIPE - CARBON STEEL - ASTM-A106 GRADE B - 3"" - SCH 40 - PIPELINE PROJ"
GAIL-VAL-1429,GAIL,"VALVE - CAST STEEL A216 WCB - BALL - API 608 A216 WCB - 4"" - CLASS 300 - HVJ LINE"
BPCL-PIP-1086,BPCL,DN 400 CARBON-STL PIPE ASTM A106 GR B SCH 40 PO# 450091
GAIL-PIP-1028,GAIL,PIPE - C.S. - AA106 GR.B - 200 NB - SCH 40 - NCR REGION
ONGC-PIP-1017,ONGC,"PIPE, CARBON STEEL, 4"", ASTM-A106 GRADE B, SCH 40, DRILLING OP"
BPCL-FLA-1233,BPCL,DN 25 CARBON-STL FLANGE SWRF ASME B16.5 ASTM A105 CL 300
GAIL-FLA-1456,GAIL,"FLANGE - CARBON STEEL - SORF - ASME-B16.5 ASTM A105 - 2"" - 150#"
BPCL-PIP-1001,BPCL,15 MM CS PIPE ASTM A106 GR B SCH 40
GAIL-FIT-1376,GAIL,"FITTING - CARBON STEEL - TEE EQUAL - ASTM-A234 WPB - 2"" - SCH 40"
IOCL-VAL-1125,IOCL,"ASTM A216 WCB VALVE BALL 3"" API 608 CL 150"
ONGC-PIP-1005,ONGC,"PIPE, CARBON STEEL, 1"", ASTM-A106 GRADE B, SCH 40, OFFSHORE HAZIRA"
BPCL-FLA-1227,BPCL,100 MM SS FLANGE WNRF ASME B16.5 ASTM A182 F316 CLASS 150 KOCHI REFY STK
BPCL-PIP-1061,BPCL,DN 150 STN STL PIPE ASTM A312 316 SCH 40S KOCHI REFY STK
ONGC-VAL-1160,ONGC,"VALVE, BUTTERFLY, C.I., 4 IN, API 609 IS 210, PRESSURE PN16"
ONGC-FLA-1191,ONGC,"FLANGE, WNRF, CARBON STEEL, 4"", ASME-B16.5 ASTM A105, 300#, BOMBAY HIGH STK"
ONGC-FAS-1420,ONGC,"FASTENER, STUD BOLT, STAINLESS STEEL, 3/4"" X 110MM, ASTM-A193 B8M, BOMBAY HIGH STK"
BPCL-VAL-1132,BPCL,DN50 S.S. VALVE BALL CF8M 150 LBS
BPCL-VAL-1095,BPCL,DN80 CS WCB VALVE GATE API 600 A216 WCB 150 LBS
ONGC-FIT-1378,ONGC,"FITTING, TEE EQUAL, CARBON-STL, 50MM NB, ASTM A234, SCH 40, API CERT"
IOCL-PIP-1079,IOCL,GI PIPE 50 NB HEAVY IS 1239 HEAVY
BPCL-PIP-1056,BPCL,80MM STAINLESS STEEL PIEP ASTM-A312 316 SCH 40S
IOCL-GAS-1287,IOCL,SS 304 W/ GRAPHITE GASKET SWG 200NB ASME-B16.20 SS304 150#
ONGC-VAL-1094,ONGC,"VALVE, GATE, WCB, 3"", API-600 A216 WCB, 150#"
ONGC-FLA-1239,ONGC,"FLANGE, WNRF, CARBON STEEL, 10"", ASME-B16.5 ASTM A105, 150#"
BPCL-PIP-1049,BPCL,DN25 S.S. PIPE AA312 316 SCH 40S
ONGC-FLA-1184,ONGC,"FLANGE, WNRF, CS, 3"" NOMINAL, ASME B16.5 ASTM A105, CLASS 150"
BPCL-FLA-1238,BPCL,250 MM CS FLANGE WNRF ASME B16.5 ASTM A105 CLASS 150
BPCL-FAS-1355,BPCL,25MM ALLOY STL FASTENER STUD BOLT ASTM-A193 B16
IOCL-PIP-1076,IOCL,GALVANIZED IRON PIPE 25NB HEAVY IS-1239 HEAVY SEC-4 GUJ REFY
BPCL-FAS-1304,BPCL,19MM ALLOY STL FASTENER STUD BOLT ASTM-A193 B7
ONGC-PIP-1078,ONGC,"PIPE, GALV IRON, 25MM NB, IS 1239 HEAVY, HEAVY"
ONGC-GAS-1249,ONGC,"GASKET, SWG, SS304/GRAPHITE, 3"" NOMINAL, ASME B16.20 SS304, CLASS 150, DRILLING OP"
IOCL-FIT-1384,IOCL,C.S. FITTING REDUCING TEE 6 X 4 INCH SCH 40 WPB STK-CAT: A
IOCL-FAS-1340,IOCL,CARBON STEEL FASTENER HEX NUT 25NB ASTM-A194 GRADE 2H
ONGC-GAS-1288,ONGC,"GASKET, SWG, SPW SS304 GRAPHITE, 8 IN, ASME B16.20 SS304, 150 LBS"
IOCL-VAL-1162,IOCL,CAST IRON VALVE BUTTERFLY 150 NB API 609 IS 210 PN16
ONGC-FLA-1234,ONGC,"FLANGE, SWRF, CS, 2"" NOMINAL, ASME B16.5 ASTM A105, CLASS 300"
IOCL-FAS-1296,IOCL,ALLOY STEEL FASTENER STUD BOLT 16 NB ASTM A193 B7
GAIL-VAL-1149,GAIL,"VALVE - WCB - CHECK - API-594 A216 WCB - 2"" - 150#"
IOCL-VAL-1119,IOCL,CAST STEEL A216 WCB VALVE BALL 50 NB API 608 A216 WCB CLASS 300 PR-REF: 8402
BPCL-VAL-1121,BPCL,DN50 CS WCB VALVE BALL A216 WCB 300 LBS
GAIL-FAS-1307,GAIL,"FASTENER - ALLOY STL - STUD BOLT - ASTM-A193 B7 - 7/8 X 140MM"" - PIPELINE PROJ"
BPCL-FIT-1398,BPCL,25MM CRABON STEEL FITTING COUPLING FULL ASME-B16.11 ASTM A105 CLASS 3000 PO# 450091
IOCL-VAL-1138,IOCL,WCB VALVE GLOBE 50NB BS-1873 A216 WCB 150# TAG# 1024
GAIL-VAL-1168,GAIL,VALVE - S.S. - NEEDLE - ASME B16.34 316 - 15 NB - 6000 LBS
GAIL-PIP-1006,GAIL,PIEP - C.S. - AA106 GR.B - 25 NB - SCH 40 - HVJ LINE
GAIL-VAL-1156,GAIL,VALVE - CS WCB - CHECK - API 594 A216 WCB - 150 NB - 150 LBS
BPCL-FLA-1195,BPCL,150MM CARBON STEEL FLANGE WNRF ASME-B16.5 ASTM A105 150# KOCHI REFY STK
GAIL-VAL-1114,GAIL,"VALVE - WCB - BALL - API-608 A216 WCB - 1"" - 150#"
ONGC-VAL-1105,ONGC,"VALVE, GATE, ASTM A216 WCB, 150MM NB, API 600, CL 150, OFFSHORE HAZIRA"
BPCL-FAS-1301,BPCL,19MM ALLOY STL FASTENER STUD BOLT ASTM-A193 B7 KOCHI REFY STK
BPCL-PIP-1417,BPCL,100 MM SS PIPE ASTM A312 316L SCH 40S MUMBAI REFY
BPCL-FAS-1344,BPCL,16MM CARBON STEEL FASTENER HEX BOLT IS-1367 8.8 KOCHI REFY STK
ONGC-PIP-1442,ONGC,"PIPE, CARBON STEEL, 2.5"", ASTM-A106 GRADE B, SCH 40"
GAIL-FLA-1241,GAIL,FLANGE - CARBON-STL - WNRF - ASME B16.5 ASTM A105 - DN250 - CL 150
GAIL-GAS-1261,GAIL,GASKET - SPW SS316 GRAPHITE - SWG - ASME B16.20 SS316 - 50 NB - 150 LBS - GAS TRANS HV
IOCL-FLA-1190,IOCL,CS FLANGE WNRF 100 NB ASME B16.5 ASTM A105 CLASS 300
BPCL-FAS-1335,BPCL,22 MM CS FASTENER HEX NUT ASTM A194 GR 2H
ONGC-FLA-1232,ONGC,"FLANGE, SWRF, C.S., 1 IN, ASME B16.5 ASTM A105, 300 LBS"
ONGC-PIP-1083,ONGC,"PIPE, CS, 16"" NOMINAL, ASTM A106 GR B, SCH 40, BOMBAY HIGH STK"
GAIL-FLA-1436,GAIL,"FLANGE - CARBON STEEL - WNRF - ASME-B16.5 ASTM A105 - 2"" - 900#"
IOCL-FIT-1371,IOCL,CS FITTING ELBOW 90 LR 150 NB SCH 40 ASTM A234 WPB
ONGC-VAL-1117,ONGC,"VALVE, BALL, WCB, 2"", API-608 A216 WCB, 150#"
IOCL-GAS-1265,IOCL,SPW SS316 GRAPHITE GASKET SWG 4 INCH ASME B16.20 SS316 150 LBS
ONGC-FLA-1214,ONGC,"FLANGE, SORF, CS, 4"" NOMINAL, ASME B16.5 ASTM A105, CLASS 150, API CERT"
ONGC-VAL-1091,ONGC,"VALVE, GATE, WCB, 2"", API-600 A216 WCB, 300#, API CERT"
IOCL-FAS-1347,IOCL,CARBON STEEL FASTENER HEX BOLT 20NB IS-1367 8.8
IOCL-VAL-1148,IOCL,CAST STEEL A216 WCB VALVE CHECK 50 NB API 594 A216 WCB CLASS 150
BPCL-VAL-1126,BPCL,100 MM CAST STEEL A216 WCB VALVE BALL API 608 A216 WCB CLASS 150 BIN: 44-A
ONGC-FAS-1313,ONGC,"FASTENER, STUD BOLT, ALLOY STEEL, 25MM NB, ASTM A193, BOMBAY HIGH STK"
IOCL-FIT-1402,IOCL,CARBON STEEL FITTING COUPLING FULL 50NB ASME-B16.11 ASTM A105 CLASS 3000 COMMODITY: PIP-CS
IOCL-FAS-1303,IOCL,ALLOY STEEL FASTENER STUD BOLT 19 NB ASTM A193 B7
ONGC-VAL-1139,ONGC,"VALVE, GLOBE, CS WCB, 2 IN, A216 WCB, 150 LBS, BOMBAY HIGH STK"
IOCL-GAS-1252,IOCL,"SS304 GRPH GASKET SWG 3"" ASME B16.20 SS304 CL 150"
GAIL-FAS-1342,GAIL,FASTENER - CARBON-STL - HEX NUT - ASTM A194 GR 2H - DN25
ONGC-PIP-1041,ONGC,"PIPE, SS, 2"" NOMINAL, ASTM A312 304, SCH 40S"
IOCL-PIP-1024,IOCL,CARBON STEEL PIPE 150NB SCH 40 ASTM-A106 GRADE B
BPCL-GAS-1289,BPCL,DN 200 SS304 GRPH GASKET SWG ASME B16.20 SS304 CL 150 MUMBAI REFY
BPCL-FIT-1392,BPCL,50MM STAINLESS STELE FITTING ELBOW 90 LR ASTM-A403 WP304 SCH 40S PO# 450091
GAIL-VAL-1101,GAIL,VALVE - CS WCB - GATE - API 600 A216 WCB - 100 NB - 300 LBS - GAS TRANS HV
BPCL-FLA-1177,BPCL,50 MM CS FLANGE WNRF ASME B16.5 ASTM A105 CLASS 150
IOCL-FLA-1211,IOCL,CARBON STEEL FLANGE SORF 50NB ASME-B16.5 ASTM A105 150# TAG# 1024
GAIL-PIP-1085,GAIL,PIPE - C.S. - GR.B - 400 NB - SCH 40 - COMPRESSOR STN
BPCL-PIP-1073,BPCL,300MM CARBON STEEL PIPE API-5L X65 PSL2
GAIL-FIT-1401,GAIL,"FITTING - CS - COUPLING FULL - ASME B16.11 ASTM A105 - 2"" - 3000#"
ONGC-FIT-1360,ONGC,"FITTING, ELBOW 90 LR, C.S., 1 IN, AA234 WPB, SCH 40"
GAIL-VAL-1093,GAIL,"VALVE - CAST STEEL A216 WCB - GATE - API 600 A216 WCB - 3"" - CLASS 150"
IOCL-VAL-1090,IOCL,CAST STEEL A216 WCB VALVE GATE 50 NB API 600 A216 WCB CLASS 300
IOCL-FAS-1310,IOCL,ALLOY STEEL FASTENER STUD BOLT 25 NB ASTM A193 B7 STK-CAT: A
BPCL-VAL-1166,BPCL,15 MM SS VALVE NEEDLE ASME B16.34 316 6000#
BPCL-GAS-1268,BPCL,DN50 SPW SS316 PTFE GASKET SWG ASME B16.20 SS316 150 LBS BIN: 44-A
ONGC-VAL-1096,ONGC,"VALVE, GATE, CAST STEEL A216 WCB, 4"" NOMINAL, API 600 A216 WCB, CLASS 150"
